lane,month,first_reject_stage,candidates,wins_if_taken,losses_if_taken,counterfactual_net_R,selected_count
V9.6.1_REFERENCE,2026-06,MODEL_UNAVAILABLE,28,8,20,-0.26798422356720886,0
V9.6.4_FIXED_PENALTY,2025-05,META_PROBABILITY,1,1,0,1.8302692507302938,0
V9.6.4_FIXED_PENALTY,2025-05,ONLINE_RANK,22,3,19,-10.895309801305228,0
V9.6.4_FIXED_PENALTY,2025-06,META_PROBABILITY,11,1,10,-5.115781200579805,0
V9.6.4_FIXED_PENALTY,2025-06,ONLINE_RANK,17,9,8,9.721145995466669,0
V9.6.4_FIXED_PENALTY,2025-07,ONLINE_RANK,6,0,6,-5.426282283067227,0
V9.6.4_FIXED_PENALTY,2025-08,MODEL_UNAVAILABLE,10,4,6,4.165617898681078,0
V9.6.4_FIXED_PENALTY,2025-09,MODEL_UNAVAILABLE,17,1,16,-8.543355957340928,0
V9.6.4_FIXED_PENALTY,2025-10,MODEL_UNAVAILABLE,33,9,24,-3.9264912238615564,0
V9.6.4_FIXED_PENALTY,2025-11,META_PROBABILITY,13,4,9,-0.5696535574761177,0
V9.6.4_FIXED_PENALTY,2025-11,ONLINE_RANK,26,10,16,8.90957537776536,0
V9.6.4_FIXED_PENALTY,2025-12,ONLINE_RANK,21,6,15,-1.892427885563542,0
V9.6.4_FIXED_PENALTY,2025-12,SELECTED,1,1,0,1.890496985958381,1
V9.6.4_FIXED_PENALTY,2026-01,MINIMUM_UTILITY,4,2,2,2.360924722347093,0
V9.6.4_FIXED_PENALTY,2026-01,ONLINE_RANK,13,2,11,-7.9522539025169126,0
V9.6.4_FIXED_PENALTY,2026-01,SELECTED,2,0,2,-1.346763031962187,2
V9.6.4_FIXED_PENALTY,2026-02,META_PROBABILITY,11,2,9,-2.865650967489029,0
V9.6.4_FIXED_PENALTY,2026-02,ONLINE_RANK,18,4,14,-4.236552490180391,0
V9.6.4_FIXED_PENALTY,2026-03,META_PROBABILITY,4,1,3,0.2532690330593266,0
V9.6.4_FIXED_PENALTY,2026-03,ONLINE_RANK,19,7,12,6.03719662553242,0
V9.6.4_FIXED_PENALTY,2026-04,MONTHLY_TARGET_CAP,4,0,4,-3.8067599788925284,0
V9.6.4_FIXED_PENALTY,2026-04,ONLINE_RANK,15,4,11,-4.376989740083999,0
V9.6.4_FIXED_PENALTY,2026-04,SELECTED,3,2,1,2.5200297986045515,3
V9.6.4_FIXED_PENALTY,2026-05,META_PROBABILITY,1,0,1,-1.271428067132503,0
V9.6.4_FIXED_PENALTY,2026-05,ONLINE_RANK,9,4,5,3.3381460297763423,0
V9.6.4_FIXED_PENALTY,2026-06,MODEL_UNAVAILABLE,28,8,20,-0.26798422356720886,0
V9.6.6_EVIDENCE_SHRINKAGE,2025-05,META_PROBABILITY,21,4,17,-6.522503478081959,0
V9.6.6_EVIDENCE_SHRINKAGE,2025-05,ONLINE_RANK,2,0,2,-2.5425370724929732,0
V9.6.6_EVIDENCE_SHRINKAGE,2025-06,META_PROBABILITY,15,4,11,-0.8962503163831179,0
V9.6.6_EVIDENCE_SHRINKAGE,2025-06,ONLINE_RANK,13,6,7,5.501615111269981,0
V9.6.6_EVIDENCE_SHRINKAGE,2025-07,NEUTRAL_MONTHLY_CAP,2,0,2,-2.5424252226531374,0
V9.6.6_EVIDENCE_SHRINKAGE,2025-07,ONLINE_RANK,1,0,1,-1.2712123899677013,0
V9.6.6_EVIDENCE_SHRINKAGE,2025-07,POSITION_OVERLAP,1,0,1,-0.17070601868161106,0
V9.6.6_EVIDENCE_SHRINKAGE,2025-07,SELECTED,2,0,2,-1.4419386517647774,2
V9.6.6_EVIDENCE_SHRINKAGE,2025-08,MODEL_UNAVAILABLE,10,4,6,4.165617898681078,0
V9.6.6_EVIDENCE_SHRINKAGE,2025-09,MODEL_UNAVAILABLE,17,1,16,-8.543355957340928,0
V9.6.6_EVIDENCE_SHRINKAGE,2025-10,MODEL_UNAVAILABLE,33,9,24,-3.9264912238615564,0
V9.6.6_EVIDENCE_SHRINKAGE,2025-11,META_PROBABILITY,18,5,13,-0.5231096816188532,0
V9.6.6_EVIDENCE_SHRINKAGE,2025-11,ONLINE_RANK,21,9,12,8.863031501908097,0
V9.6.6_EVIDENCE_SHRINKAGE,2025-12,ONLINE_RANK,19,5,14,-2.5399603575955014,0
V9.6.6_EVIDENCE_SHRINKAGE,2025-12,POSITION_OVERLAP,1,1,0,1.890496985958381,0
V9.6.6_EVIDENCE_SHRINKAGE,2025-12,SELECTED,2,1,1,0.6475324720319589,2
V9.6.6_EVIDENCE_SHRINKAGE,2026-01,MARKET_CLUSTER_DUPLICATE,1,1,0,1.8321953397565938,0
V9.6.6_EVIDENCE_SHRINKAGE,2026-01,NEUTRAL_MONTHLY_CAP,7,0,7,-5.415337250614895,0
V9.6.6_EVIDENCE_SHRINKAGE,2026-01,ONLINE_RANK,9,2,7,-3.9674013262311503,0
V9.6.6_EVIDENCE_SHRINKAGE,2026-01,SELECTED,2,1,1,0.6124510249574457,2
V9.6.6_EVIDENCE_SHRINKAGE,2026-02,META_PROBABILITY,21,4,17,-5.4910096596426055,0
V9.6.6_EVIDENCE_SHRINKAGE,2026-02,ONLINE_RANK,8,2,6,-1.611193798026815,0
V9.6.6_EVIDENCE_SHRINKAGE,2026-03,META_PROBABILITY,17,5,12,1.128002003644528,0
V9.6.6_EVIDENCE_SHRINKAGE,2026-03,ONLINE_RANK,6,3,3,5.162463654947219,0
V9.6.6_EVIDENCE_SHRINKAGE,2026-04,NEUTRAL_MONTHLY_CAP,11,3,8,-3.271161751732716,0
V9.6.6_EVIDENCE_SHRINKAGE,2026-04,ONLINE_RANK,9,3,6,-0.9499770210474399,0
V9.6.6_EVIDENCE_SHRINKAGE,2026-04,SELECTED,2,0,2,-1.4425811475918209,2
V9.6.6_EVIDENCE_SHRINKAGE,2026-05,META_PROBABILITY,7,3,4,1.6083780097676004,0
V9.6.6_EVIDENCE_SHRINKAGE,2026-05,ONLINE_RANK,3,1,2,0.45833995287623885,0
V9.6.6_EVIDENCE_SHRINKAGE,2026-06,MODEL_UNAVAILABLE,28,8,20,-0.26798422356720886,0
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-05,META_PROBABILITY,1,1,0,1.8302692507302938,0
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-05,ONLINE_RANK,22,3,19,-10.895309801305228,0
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-06,META_PROBABILITY,11,1,10,-5.115781200579805,0
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-06,ONLINE_RANK,17,9,8,9.721145995466669,0
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-07,ONLINE_RANK,6,0,6,-5.426282283067227,0
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-08,MODEL_UNAVAILABLE,10,4,6,4.165617898681078,0
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-09,MODEL_UNAVAILABLE,17,1,16,-8.543355957340928,0
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-10,MODEL_UNAVAILABLE,33,9,24,-3.9264912238615564,0
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-11,META_PROBABILITY,13,4,9,-0.5696535574761177,0
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-11,ONLINE_RANK,26,10,16,8.90957537776536,0
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-12,ONLINE_RANK,21,6,15,-1.892427885563542,0
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-12,SELECTED,1,1,0,1.890496985958381,1
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-01,DAILY_CAP,1,0,1,-0.08164347753032455,0
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-01,ONLINE_RANK,13,2,11,-7.9522539025169126,0
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-01,POSITION_OVERLAP,1,0,1,-1.2651195544318625,0
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-01,SELECTED,4,2,2,2.360924722347093,4
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-02,META_PROBABILITY,11,2,9,-2.865650967489029,0
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-02,ONLINE_RANK,18,4,14,-4.236552490180391,0
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-03,META_PROBABILITY,4,1,3,0.2532690330593266,0
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-03,ONLINE_RANK,19,7,12,6.03719662553242,0
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-04,ONLINE_RANK,15,4,11,-4.376989740083999,0
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-04,POSITION_OVERLAP,2,0,2,-2.3973776295676963,0
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-04,SELECTED,5,2,3,1.1106474492797194,5
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-05,META_PROBABILITY,1,0,1,-1.271428067132503,0
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-05,ONLINE_RANK,9,4,5,3.3381460297763423,0
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-06,MODEL_UNAVAILABLE,28,8,20,-0.26798422356720886,0
